 Window ID,Chip ID,Hex Chip ID,Die X,Die Y,QR Code,File Name,Module ID,Version,Test Result,Error Code,Record Error Codes,Record ID,Sensor Cols,Sensor Rows,Start Time,End Time,Sensor Type,BoardId,Pixel Size,Board Maj,Board Min,Serial Number,Open Short,CP Names,CP Values,Sleep Current,Idle Current,Work Current,INT VSS,MISO VSS,RST VSS,MOSI VSS,SCK VSS,CS VSS,INT VDD,MISO VDD,CRC TF,ROI,Cali Light Value,Cali Light Lux,Ae Slope TF,Ae Slope Mid,Ae Slope Low,Ae Slope High,Exposure,Cali Exposure,Cali BrightNess,Shading TF,Shading Value,Shading_Max Value,Shading_Min Value,Shading_Balance Value,Center TF,Center_X Value,Center_Y Value,Center_X Offset,Center_Y Offset,Crop_X,Crop_Y,Crop_W,Crop_H,Bad Point TF,Bad Point Total,Bad Point Lines,Bad Point Clusters,Bad Point Cluster Size,Dim Bad Point Total,Dim Bad Point Lines,Dim Bad Point Clusters,Dim Bad Point Cluster Size,Bad Point Thin Total,Bad Point Thin XS,Bad Point Thin S,Bad Point Thin M,Bad Point Thin L,SNR TF,SNR Value,Auto Exposure TF,Auto Exposure Value,Auto Exposure Bright,MTF TF,MTF LT,MTF RT,MTF CENTER,MTF LB,MTF RB,MTF COM,MTF Balance Value,MTF Value,MTF Scale Value,Contrast,Sagittal1,Sagittal2,Sagittal3,Tangential1,Tangential2,Tangential3,Gradient MTF Value,Gradient MTF Level,MTF Center TF,MTF Center X,MTF Center Y,MTF Calibrate current,MTF Calibrate Peek,FOV TF,FOV,Rotation,Frequency Difference
 #2,SFK0012_12_14_15,53464b303031325f31325f31345f3135,14,15,T91809020C400021B0,20201218061329512_#2,JV0302,develop: 2020-12-16 21:55:41 +080076dfe4a74c312be6b63fd3be86c87714b9cb2e33,PASSED,0,,-1,2047,1,2020-12-18 06:13:29:512,2020-12-18 06:13:32:885,2,2009593368,-1,1,2,80070016_3139510f_35303233,,,,98.00000,1406.00000,12007.00000,-0.41917,-0.41791,-0.42874,-0.41841,-0.41967,-0.41942,1.10532,1.10104,True,,39667,270,,,,,5000,9375,0.79045,,,,,,,80,101,,,0,21,160,160,,,,,,,,,,,,,,,,,,,,True,0.55820,0.56075,0.80106,0.59734,0.42829,0.68248,0.16905,0.42829,0.26772,1801,0.82088,0.86338,0.89414,0.43043,0.53764,0.62928,,,,,,,,True,36.63424,-6.60923,0.07598
 #2,SFK0012_12_52_15,53464b303031325f31325f35325f3135,52,15,T91809020C400022C0,20201218061341273_#2,JV0302,develop: 2020-12-16 21:55:41 +080076dfe4a74c312be6b63fd3be86c87714b9cb2e33,PASSED,0,,-1,3014409,3276884,2020-12-18 06:13:41:273,2020-12-18 06:13:44:842,2,115,-1,1,2,80070016_3139510f_35303233,,,,93.00000,1397.00000,11825.00000,-0.42219,-0.42118,-0.43276,-0.42169,-0.42118,-0.42093,1.10759,1.10406,True,,39666,270,,,,,5000,9562,0.80214,,,,,,,81,102,,,0,22,160,160,,,,,,,,,,,,,,,,,,,,True,0.61691,0.59847,0.80846,0.66061,0.51241,0.72031,0.14820,0.51241,0.29543,1809,0.88462,0.92228,0.94929,0.48659,0.59357,0.68288,,,,,,,,True,36.71338,-7.10465,0.59823
 #2,SFK0012_12_76_17,53464b303031325f31325f37365f3137,76,17,T91809020C40002150,20201218061350404_#2,JV0302,develop: 2020-12-16 21:55:41 +080076dfe4a74c312be6b63fd3be86c87714b9cb2e33,PASSED,0,,-1,3014409,3276884,2020-12-18 06:13:50:404,2020-12-18 06:13:53:357,2,115,-1,1,2,80070016_3139510f_35303233,,,,88.00000,1406.00000,11973.00000,-0.42194,-0.42269,-0.43251,-0.42370,-0.42093,-0.42370,1.11061,1.10784,True,,39665,270,,,,,5000,10500,0.80262,,,,,,,83,100,,,0,20,160,160,,,,,,,,,,,,,,,,,,,,True,0.55418,0.55411,0.80196,0.59261,0.44479,0.67861,0.14783,0.44479,0.26755,1802,0.83149,0.87037,0.89948,0.41961,0.52644,0.61878,,,,,,,,True,36.63080,-7.26600,0.14296
 #2,SFK0012_12_57_20,53464b303031325f31325f35375f3230,57,20,T91809020C40002540,20201218061359386_#2,JV0302,develop: 2020-12-16 21:55:41 +080076dfe4a74c312be6b63fd3be86c87714b9cb2e33,PASSED,0,,-1,3014409,3276884,2020-12-18 06:13:59:386,2020-12-18 06:14:02:532,2,115,-1,1,2,80070016_3139510f_35303233,,,,88.00000,1387.00000,11614.00000,-0.42093,-0.42169,-0.43352,-0.42295,-0.42093,-0.42043,1.10356,1.09701,True,,39667,270,,,,,5000,9750,0.79320,,,,,,,82,100,,,0,20,160,160,,,,,,,,,,,,,,,,,,,,True,0.55759,0.52582,0.77831,0.57629,0.40984,0.66009,0.16644,0.40984,0.26590,1778,0.82072,0.85932,0.88878,0.40864,0.51605,0.60967,,,,,,,,True,35.93518,-7.31610,0.13896
 #2,SFK0012_12_52_31,53464b303031325f31325f35325f3331,52,31,T91809020C40002610,20201218061408118_#2,JV0302,develop: 2020-12-16 21:55:41 +080076dfe4a74c312be6b63fd3be86c87714b9cb2e33,PASSED,0,,-1,3014409,3276884,2020-12-18 06:14:08:118,2020-12-18 06:14:11:304,2,115,-1,1,2,80070016_3139510f_35303233,,,,93.00000,1406.00000,12185.00000,-0.41690,-0.41841,-0.42672,-0.41741,-0.41741,-0.41690,1.10683,1.10230,True,,39665,270,,,,,5000,9750,0.80097,,,,,,,80,101,,,0,21,160,160,,,,,,,,,,,,,,,,,,,,True,0.54904,0.59353,0.78165,0.59686,0.43244,0.67452,0.16442,0.43244,0.27786,1781,0.84793,0.88045,0.90181,0.46964,0.57352,0.65998,,,,,,,,True,36.67317,-7.04632,0.60857
 #2,SFK0012_12_70_10,53464b303031325f31325f37305f3130,70,10,T91809020C40002600,20201218061417176_#2,JV0302,develop: 2020-12-16 21:55:41 +080076dfe4a74c312be6b63fd3be86c87714b9cb2e33,PASSED,0,,-1,3014409,3276884,2020-12-18 06:14:17:176,2020-12-18 06:14:20:549,2,115,-1,1,2,80070016_3139510f_35303233,,,,93.00000,1377.00000,11584.00000,-0.42144,-0.42018,-0.43100,-0.42194,-0.42043,-0.42118,1.11413,1.10759,True,,39667,270,,,,,5000,9375,0.79316,,,,,,,82,101,,,0,21,160,160,,,,,,,,,,,,,,,,,,,,True,0.56277,0.57292,0.79147,0.57440,0.44905,0.68104,0.12535,0.44905,0.27280,1792,0.83748,0.87629,0.90468,0.43234,0.53759,0.62938,,,,,,,,True,36.64880,-7.03891,0.12682
 #2,SFK0012_12_76_16,53464b303031325f31325f37365f3136,76,16,T91809020C400023A0,20201218061428089_#2,JV0302,develop: 2020-12-16 21:55:41 +080076dfe4a74c312be6b63fd3be86c87714b9cb2e33,PASSED,0,,-1,3014409,3276884,2020-12-18 06:14:28:089,2020-12-18 06:14:31:449,2,115,-1,1,2,80070016_3139510f_35303233,,,,88.00000,1426.00000,11673.00000,-0.42244,-0.42068,-0.43226,-0.42269,-0.42093,-0.42320,1.11287,1.10683,True,,39668,270,,,,,5000,10875,0.79675,,,,,,,81,103,,,0,23,160,160,,,,,,,,,,,,,,,,,,,,True,0.54000,0.46633,0.76760,0.55292,0.40385,0.63906,0.14907,0.40385,0.25575,1768,0.79905,0.83614,0.86125,0.38673,0.49366,0.58619,,,,,,,,True,35.99134,-6.07142,0.12480
 #2,SFK0012_12_80_6,53464b303031325f31325f38305f36,80,6,T91809020C40002330,20201218061439404_#2,JV0302,develop: 2020-12-16 21:55:41 +080076dfe4a74c312be6b63fd3be86c87714b9cb2e33,PASSED,0,,-1,3014409,3276884,2020-12-18 06:14:39:404,2020-12-18 06:14:42:564,2,115,-1,1,2,80070016_3139510f_35303233,,,,102.00000,1446.00000,11771.00000,-0.41867,-0.41665,-0.42773,-0.41640,-0.41867,-0.41917,1.10885,1.10406,True,,39666,270,,,,,5000,9750,0.80319,,,,,,,81,101,,,0,21,160,160,,,,,,,,,,,,,,,,,,,,True,0.57216,0.61219,0.81306,0.60299,0.52666,0.71174,0.08553,0.52666,0.28461,1813,0.87657,0.91119,0.93529,0.46079,0.56458,0.65184,,,,,,,,True,36.81717,-6.86502,0.12820
 #2,SFK0012_12_62_18,53464b303031325f31325f36325f3138,62,18,T91809020C40017800,20201218061452883_#2,JV0302,develop: 2020-12-16 21:55:41 +080076dfe4a74c312be6b63fd3be86c87714b9cb2e33,PASSED,0,,-1,3014409,3276884,2020-12-18 06:14:52:883,2020-12-18 06:14:56:056,2,115,-1,1,2,80070016_3139510f_35303233,,,,88.00000,1367.00000,11761.00000,-0.42144,-0.42345,-0.43226,-0.42395,-0.42194,-0.42269,1.10431,1.10180,True,,39666,270,,,,,5000,9750,0.80367,,,,,,,81,102,,,0,22,160,160,,,,,,,,,,,,,,,,,,,,True,0.55668,0.60298,0.76487,0.50124,0.41978,0.65072,0.18320,0.41978,0.27203,1764,0.83020,0.86308,0.88855,0.42945,0.53698,0.62622,,,,,,,,True,36.97867,-6.98208,0.15342
 #2,SFK0012_12_51_3,53464b303031325f31325f35315f33,51,3,T91809020C400025A0,20201218061501292_#2,JV0302,develop: 2020-12-16 21:55:41 +080076dfe4a74c312be6b63fd3be86c87714b9cb2e33,PASSED,0,,-1,3014409,3276884,2020-12-18 06:15:01:292,2020-12-18 06:15:03:852,2,115,-1,1,2,80070016_3139510f_35303233,,,,102.00000,1377.00000,11333.00000,-0.41615,-0.41489,-0.42521,-0.41690,-0.41539,-0.41615,1.10859,1.10356,True,,39667,270,,,,,5000,9000,0.80979,,,,,,,80,102,,,0,22,160,160,,,,,,,,,,,,,,,,,,,,True,0.52683,0.54506,0.80006,0.63101,0.54237,0.69886,0.10418,0.52683,0.28064,1800,0.86443,0.90062,0.92991,0.44884,0.55961,0.65123,,,,,,,,True,36.77708,-6.55930,0.61966
