Window ID,Chip ID,find,Contrast,Sagittal1,Sagittal2,Sagittal3,Tangential1,Tangential2,Tangential3,Q,Gradient MTF Level,MTF Center TF,MTF Center X,MTF Center Y,MTF Calibrate current,MTF Calibrate Peek,FOV TF,FOV,Rotation,Frequency Difference
#1,SFK0012_11_59_20,SFK0012_11_59_20,1792,0.89736,0.8182,0.85144,0.34898,0.45765,0.55211,1500.5,A,,,,,,TRUE,38.11321,-4.33636,0.61817
#1,SFK0012_11_53_19,SFK0012_11_53_19,1820,0.80373,0.8411,0.88052,0.37429,0.48285,0.5752,1502.8,A,,,,,,TRUE,38.12371,-4.4457,0.63555
#1,SFK0012_11_41_29,SFK0012_11_41_29,1809,0.79222,0.81518,0.85893,0.35573,0.46394,0.55761,1509.8,A,,,,,,TRUE,38.10014,-4.41285,0.61521
#1,SFK0012_11_66_2,SFK0012_11_66_2,1797,0.88485,0.90655,0.9404,0.43739,0.5516,0.64667,1499.5,A,,,,,,TRUE,38.2472,-4.28869,0.06359
#1,SFK0012_11_20_29,SFK0012_11_20_29,1836,0.81719,0.8162,0.84197,0.34431,0.45026,0.53899,1506,A,,,,,,TRUE,38.07185,-4.52413,0.61857
#1,SFK0012_11_34_28,SFK0012_11_34_28,1814,0.85439,0.858,0.88603,0.37417,0.48377,0.57583,1510.6,A,,,,,,TRUE,38.20036,-4.16401,0.61384
#1,SFK0012_11_53_16,SFK0012_11_53_16,1831,0.83444,0.89734,0.91717,0.42642,0.53951,0.62681,1499.3,A,,,,,,TRUE,38.18291,-4.56868,0.12298
#1,SFK0012_11_76_14,SFK0012_11_76_14,1783,0.73517,0.76507,0.80175,0.32146,0.42264,0.50916,1506.5,A,,,,,,TRUE,38.05921,-4.57367,0.63661
#1,SFK0012_11_65_3,SFK0012_11_65_3,1801,0.78581,0.83405,0.87304,0.41022,0.52193,0.61515,1511.5,A,,,,,,TRUE,38.14722,-4.40445,0.09978
#1,SFK0012_11_28_10,SFK0012_11_28_10,1781,0.76416,0.88169,0.91101,0.43745,0.54714,0.63204,1519.6,A,,,,,,TRUE,38.14861,-4.63,0.10003
#1,SFK0012_11_21_12,SFK0012_11_21_12,1781,0.77492,0.79436,0.8243,0.35626,0.45067,0.5311,1516.9,A,,,,,,TRUE,38.02046,-4.70571,0.68018
